id,date,date_end,keywords,ideology
2001992001,1992-02-12,1992-02-12,"solicitors, Law Society",right
2001992002,1992-02-12,1992-02-12,"Students, higher education, government cuts",left
2001992003,1992-02-13,1992-02-13,"British Field Sports Society, Master of Foxhounds Association, Piccadilly Hunt, field sports, fox hunting",right
2001992005,1992-03-01,1992-03-01,"Hampshire, Twyford Down, Friends of the Earth",left
2001992006,1992-03-31,1992-03-31,"Belfast, schoolchildren, Grosvenor High",neither
2001992007,1992-04-06,1992-04-06,"PARENTS, education, schools, educational",left
2001992008,1992-05-31,1992-05-31,"Bomber Harris, RAF, St Clement Danes",left
2001992009,1992-07-07,1992-07-07,"fishermen, Sea Fish Conservation Bill",right
2001992010,1992-07-16,1992-07-17,"Bristol, Hartcliffe estate",left
2001992012,1992-08-21,1992-08-21,"Middlesex, nurses, Hospital, patients, Nupe, health union, Cohse, Nalgo",left
2001992013,1992-08-24,1992-08-24,"anti fascists, anti fascists, antifascist, Bethnal Green, British National Party",left
2001992015,1992-10-18,1992-10-18,"Cheltenham, miner, miners, pit closures",left
2001992016,1992-10-21,1992-10-25,"coal miner, coal miners, coal mines, miners",left
2001992019,1992-11-15,1992-11-15,"Whitburn, 636 mile, Bathgate, Glasgow to London",left
2001992020,1992-12-11,1992-12-11,"soldiers, former servicemen, battalions, defence cuts",right
2001992021,1992-12-11,1992-12-11,"fishermen, Sea Fish Conservation Bill, Sea Conservation Bill, fisheries policy, trawlermen, trawlers",right
2001993001,1993-01-17,1993-01-17,"British Referendum, Maastricht, Euro sceptics, Trafalgar Square",right
2001993002,1993-03-09,1993-03-09,"Peterhead harbour, Grimsby, Humberside, fishermen, fish prices, trawlermen, dock workers",left
2001993004,1993-03-22,1993-03-22,"Teesport, fishermen, trawlers",right
2001993005,1993-03-27,1993-03-27,"fishermen, fishing boats, fishing vessels, trawlermen",right
2001993006,1993-03-30,1993-03-30,"Trades Union Congress, miners, Trotskyist Trade Union, coal",left
2001993008,1993-04-14,1993-04-14,"Liverpool, fishing boats, docks",right
2001993009,1993-04-19,1993-04-19,"Stornoway, council tax",left
2001993010,1993-04-25,1993-04-25,"British National Party, BNP, extreme right",right
2001993011,1993-05-17,1993-05-17,"Dundee, Arthur Scargill, Union of Mineworkers",left
2001993012,1993-05-23,1993-05-23,"Twyford Down, M3, Dongas, chained, construction",left
2001993014,1993-05-29,1993-05-31,"Kyle of Lochalsh, fishermen, fishing vessels",right
2001993016,1993-07-04,1993-07-04,"Hampshire, motorway construction, M3, Twyford Down",left
2001993017,1993-07-20,1993-07-20,"Wembley, policemen, Sheehy",neither
2001993018,1993-08-03,1993-08-03,"Hornsey, Gardner",left
2001993019,1993-08-07,1993-08-07,"Gardner, Socialist Workers",left
2001993020,1993-08-20,1993-08-20,"University College Hospital, nurses, emergency cover",left
2001993021,1993-09-10,1993-09-10,"anti racism, teenage Asian, Royal London Hospital",left
2001993022,1993-10-20,1993-10-20,"pensioners, retired",left
2001993023,1993-11-05,1993-11-05,"civil servants, market testing programme",left
2001994001,1994-03-05,1994-03-05,"nuclear power, Anti nuclear, nuclear waste",left
2001994002,1994-04-05,1994-04-05,"Walworth police station, Richard O Brien, Richard O'Brien",left
2001994003,1994-04-15,1994-04-15,"Wanstead Against the M11, M11, Cambridge Park",left
2001994005,1994-07-24,1994-07-24,"Criminal Justice and Public Order Bill, Criminal Justice, Justice Bill",left
2001994006,1994-10-09,1994-10-19,"Criminal Justice and Public Order Bill, Criminal Justice, Justice Bill",left
2001994009,1994-11-01,1994-11-02,"Means Test, means testing",left
2001994010,1994-11-03,1994-11-03,"civil rights protesters, M11, Criminal Justice and Public Order Bill, Criminal Justice, Justice Bill",left
2001994011,1994-11-17,1994-11-17,"Kani Yilmaz, Kurds, Kurdish",neither
2001994012,1994-11-27,1994-11-29,"M11, Claremont Road, Leytonstone",left
2001994013,1994-12-05,1994-12-05,"Heathrow, noise from aircraft landing, airport",left
2001995001,1995-01-09,1995-01-09,"livestock, ANIMAL ACTIVISTS, Animal rights, Shoreham",left
2001995002,1995-02-14,1995-02-16,"M77, Road protestors",left
2001995004,1995-02-24,1995-02-24,"Brightlingsea, children, sheep, livestock, animal activists, animal rights",left
2001995005,1995-03-03,1995-03-03,"country sports, hunting ban, British field sports, anti-hunt Bill, ban on hunting, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill, blood sport",right
2001995006,1995-03-09,1995-03-09,"Plymouth, animal welfare protestors, animal activists, animal rights, calves, lambs",left
2001995007,1995-05-08,1995-05-08,"Stonehenge, RAMBLERS, travellers",left
2001995008,1995-05-14,1995-05-14,"anti car, car free space, Reclaim The Streets",left
2001995009,1995-06-20,1995-06-20,"anti roads,  M11",left
2001995010,1995-07-23,1995-07-23,"anti car, car free space, Reclaim The Streets",left
2001995011,1995-09-24,1995-09-24,"RAMBLERS, travellers",left
2001996001,1996-01-01,1996-02-07,"Newbury, A34, treehouses, tunnels, Tree Pixie Village and Granny Ash",left
2001996002,1996-02-11,1996-02-11,"Newbury, Friends of the Earth, A34",left
2001996003,1996-02-16,1996-02-16,unemployed,left
2001996006,1996-05-05,1996-05-05,"Wandsworth, land rights, Land is Ours",left
2001996007,1996-05-31,1996-05-31,"Aberystwyth, University of Wales, Welsh Language Society",left
2001996014,1996-09-16,1996-09-16,"McDonald, McDonald's, Portillo",left
2001996016,1996-10-02,1996-10-02,"Shepton Mallet, HOGG, Agriculture Minister, farmers, dairy show, National Farmers Union, Country Landowners  Association",left
2001996017,1996-10-23,1996-10-23,"farmers, National Farmers  Union, BSE, HOGG, Agriculture Minister, farmers",left
2001996018,1996-10-28,1996-10-28,"Northamptonshire, Heseltine, mining",left
2001996019,1996-11-03,1996-11-03,"Wolverhampton, gun legislation, British Shooting Sports, gun control",right
2001996020,1996-11-19,1996-11-19,"Oxford, Cambridge, higher education, UNIVERSITY, college, universities",left
2001997001,1997-01-24,1997-01-24,"Northallerton, Hague, Welsh Secretary",left
2001997002,1997-02-08,1997-02-08,"Chesire, ANIMAL welfare, Animal rights, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill, blood sport",left
2001997003,1997-02-16,1997-02-16,"Right to Work, wives, children, unemployed, women",left
2001997004,1997-02-23,1997-02-23,"Sportsman s Association, Sportsman’s Association, gun control, gun legislation",left
2001997005,1997-04-14,1997-04-14,"Goldsmith, Referendum Party, European Union, withdrawal",right
2001997006,1997-04-18,1997-04-18,"Fish, fishermen, fisheries policy, trawlermen, trawlers",right
2001997007,1997-07-10,1997-07-10,"HESELTINE, ban on hunting, hunting ban, British field sports, anti-hunt Bill, ban on hunting, fox hunt, fox hunting, fox hunts",right
2001997008,1997-08-20,1997-08-20,"Montserrat, Savage",neither
2001997009,1997-09-01,1997-09-01,"Arms Trade, Hampshire, Farnborough, arms fair",left
2001997010,1997-09-28,1997-09-28,"Brighton, tuition fees, BLUNKETT, university, students",left
2001997011,1997-11-26,1997-11-26,"tuition fees, students, Hyde Park, university fees",left
2001997012,1997-12-01,1997-12-02,"Welsh, farmers, beef, Fishguard, harbour",neither
2001997014,1997-12-26,1997-12-26,"Sandringham, HUNT ENTHUSIASTS, hounds, hound, League Against Cruel Sports, blood sport, ANIMAL welfare, Animal rights, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill",right
2001998001,1998-01-20,1998-01-20,"farmers, Mayflower",left
2001998002,1998-01-30,1998-01-30,"Catholics, Protestants, Belfast, sectarian",left
2001998005,1998-03-01,1998-03-01,"Countryside Alliance, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill",right
2001998006,1998-06-15,1998-06-15,"Cardiff, farmers, Cunningham, Agriculture Minister, farming union",right
2001998013,1998-09-28,1998-09-28,"farmers, Nick Brown, Agriculture Minister, Blackpool",right
2001998014,1998-09-28,1998-09-28,"hard Left, government cuts, public services, teachers, hospital workers, trade unionists, Winter Gardens conference centre, factory closures, cutting support, minimum wage",left
2001998016,1998-10-02,1998-10-02,"Wales, West Country, Chepstow,  Winsford, farmers,  lamb prices, beef imports, Tesco",neither
2001998017,1998-10-20,1998-10-20,"BBC staff, National Union of Journalists, Bectu",neither
2001998020,1998-12-18,1998-12-18,"Iraq, Socialist Workers  Party, Al Muharjiroun, National Union of Students",left
2001999001,1999-02-25,1999-02-25,"fuel duty, fuel taxes, fuel protest, fuel prices",right
2001999002,1999-03-10,1999-03-10,"Falklands, anti british demonstrators",neither
2001999003,1999-03-17,1999-03-18,"Portadown, Lurgan, Nelson",left
2001999004,1999-03-23,1999-03-23,"truck drivers, diesel fuel, license fees",right
2001999005,1999-04-12,1999-04-12,"truck drivers, diesel fuel, license fees",right
2001999006,1999-07-01,1999-07-01,"Edinburgh, Northern Irish",neither
2001999008,1999-09-28,1999-09-28,"Countryside Alliance, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill",right
2001999009,1999-10-18,1999-10-18,"unemployment, unemployed",left
2001999010,1999-11-10,1999-11-10,"countryside, HUNT ENTHUSIASTS, pro hunt, hounds, hound, League Against Cruel Sports, blood sport, ANIMAL welfare, Animal rights, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill",right
2001999012,1999-11-25,1999-11-25,"tuition fees, university fees, student loan, student loans",left
2001999013,1999-11-30,1999-11-30,"anti capitalist, capitalism, privatisation, anarchist, Socialist, Euston",left
2001999014,1999-12-05,1999-12-05,"Protestant pupils, McGuinness",neither
2001999015,1999-12-27,1999-12-27,"Essex, Gloucestershire, Wiltshire, hunters, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill",right
2002000001,2000-01-11,2000-01-11,"Edinburgh, farmers",right
2002000003,2000-02-14,2000-02-14,"Argyll, Trident, Ploughshares, Nuclear, Disarmament",left
2002000004,2000-03-08,2000-03-08,"Pankhurst, Suffrage, Suffragist",left
2002000005,2000-03-23,2000-03-23,"dairy, farmers, Sainsbury, milk",right
2002000006,2000-03-29,2000-03-29,"Paisley, dairy, farmers, milk",right
2002000007,2000-05-01,2000-05-01,"May Day, capitalism, ANTI-CAPITALIST, GUERRILLA GARDENERS",left
2002000008,2000-05-08,2000-05-08,"Midlothian, genetically modified crops, Boghall Farm, farm trials",left
2002000009,2000-05-18,2000-05-18,Tyson,left
2002000010,2000-06-07,2000-06-07,pig farmers,right
2002000011,2000-06-12,2000-06-12,"Countryside Alliance, fox hunt, fox hunting, fox hunts, ban on hunting, hunting ban, British field sports, anti-hunt Bill, pro hunting",right
2002000013,2000-07-09,2000-07-09,"hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting",right
2002000014,2000-08-01,2000-08-01,"Argyll and Bute, Clyde, anti nuclear, Faslane, Trident, submarine base",left
2002000016,2000-08-10,2000-08-10,"hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting",right
2002000017,2000-09-07,2000-09-15,"farm workers, taxi drivers, Stanlow, Elf, refinery, Milford Haven, Texaco, Pembroke, fuel depot, Fina, Esso, Avonmouth, Bristol, oil terminal, Kingsbury, North Killingholme, Immingham, Humber Estuary, Jarrow, Fuels Terminal, fuel prices",right
2002000018,2000-11-13,2000-11-14,"Edinburgh, hauliers, farmers, fuel taxes, Truck drivers, fuel protest, fuel prices, fuel duty",right
2002001001,2001-01-18,2001-01-18,"hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting",right
2002001002,2001-01-22,2001-01-22,"Balham, paedophiles",right
2002001003,2001-03-01,2001-03-01,"Edinburgh, fishermen, Fish, fisheries policy, trawlermen, trawlers",right
2002001004,2001-03-12,2001-03-12,"Peterhead, fishermen, Fish, fisheries policy, trawlermen, trawlers",neither
2002001005,2001-05-01,2001-05-01,"May Day, capitalism, ANTI-CAPITALIST, anarchists",left
2002001006,2001-06-01,2001-06-01,"Fuel protest, price of petrol, fuel taxes, fuel prices, fuel duty",right
2002001007,2001-06-06,2001-06-06,"Harehills, Asian youths, Asian man",left
2002001008,2001-07-20,2001-07-20,"Brixton, fatal shooting",left
2002001009,2001-08-05,2001-08-06,asylum seekers,left
2002001012,2001-08-07,2001-08-07,"pool, Govanhill",left
2002001013,2001-08-21,2001-08-21,"Edinburgh, red light district",right
2002001014,2001-09-11,2001-09-11,"arms fair, arms trade, defence systems",left
2002001015,2001-11-18,2001-11-18,"anti war, anti-war, bradshaw, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002001017,2001-12-10,2001-12-10,"hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Edinburgh, Countryside Alliance, Rural rebels, hunting with dogs",right
2002002001,2002-01-18,2002-01-18,"Belfast, Londonderry, Omagh, Enniskillen, Newry, Cookstown, Strabane, Northern Ireland, sectarian violence, paramilitary groups",left
2002002002,2002-02-06,2002-02-07,"hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, riders",right
2002002004,2002-02-11,2002-02-11,"Argyll, anti nuclear, Faslane, Trident, submarine base, nuclear deterrent, nuclear weapons, vanguard, nuclear protest",left
2002002005,2002-02-13,2002-02-13,"Edinburgh, hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, hunting with dogs",left
2002002006,2002-03-13,2002-03-13,"policemen, rank and file, officers, reforms to the service, Police Force, POLICE protest",neither
2002002009,2002-05-01,2002-05-01,"May Day, capitalism, ANTI-CAPITALIST, anarchists, mayday",left
2002002010,2002-05-19,2002-05-19,"Worcestershire, asylum seekers",right
2002002011,2002-05-22,2002-05-22,"Country Sports, Hounds, foxhunting, hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, hunting with dogs",right
2002002012,2002-06-04,2002-06-04,"anti monarch, anti-monarch, anti monarchy, anti-monarchy, anti-royalists",left
2002002016,2002-07-12,2002-07-12,Doncaster,right
2002002018,2002-09-10,2002-09-10,"Gibraltar, National Day",neither
2002002019,2002-09-16,2002-09-23,"hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, rural protesters",right
2002002021,2002-10-05,2002-10-06,"Belfast, Sinn Fein, Irish Republican Army, IRA",neither
2002002023,2002-10-28,2002-10-28,"Firefighters, fireman, firewoman, firefighting",neither
2002002025,2002-11-01,2002-11-01,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002002027,2002-11-15,2002-11-15,"cruise missiles, Greenham Common, Berkshire, anti-cruise",left
2002002028,2002-11-24,2002-11-24,"Westminster Bridge, student loan, student loans, Socialist Worker, tuition fees, university fees",left
2002002030,2002-12-08,2002-12-08,"Firefighters, fireman, firewoman, firefighting",neither
2002002031,2002-12-11,2002-12-11,"fishing boats, fishermen, Fish, fisheries policy, trawlermen, trawlers, English Channel",right
2002002032,2002-12-17,2002-12-17,"Country Sports, Hounds, foxhunting, hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, hunting with dogs",right
2002002033,2002-12-26,2002-12-26,"Boxing Day hunt, Country Sports, Hounds, foxhunting, hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, hunting with dogs",right
2002003001,2003-01-18,2003-01-19,"Northwood, military headquarters",left
2002003002,2003-01-20,2003-01-20,"Lincolnshire, Sittingbourne, Kent, asylum seekers",right
2002003003,2003-01-23,2003-01-23,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST",left
2002003004,2003-02-15,2003-02-15,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002003006,2003-03-05,2003-03-05,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST",left
2002003007,2003-03-16,2003-03-23,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002003010,2003-03-22,2003-03-22,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002003013,2003-04-13,2003-04-13,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002003014,2003-04-22,2003-04-22,"Argyll and Bute, CND, Faslane, Trident, Bruce Kent, nuclear disarmament, nuclear deterrent, nuclear weapons, anti nuclear, anti-nuclear",left
2002003015,2003-05-01,2003-05-01,"May Day, capitalism, ANTI-CAPITALIST, anarchists, mayday",left
2002003016,2003-06-29,2003-06-29,"Country Sports, Hounds, foxhunting, hunting ban, hunters, fox hunt, fox hunting, foxhunting, fox hunts, ban on hunting, British field sports, anti-hunt Bill, pro hunting, Countryside Alliance, Rural rebels, hunting with dogs",right
2002003017,2003-09-27,2003-09-27,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq",left
2002003018,2003-10-06,2003-10-06,"pensioners, pensions credit, retired",left
2002003019,2003-10-26,2003-10-26,"student loan, student loans, tuition fees, university fees",left
2002003020,2003-11-19,2003-11-20,"anti war, anti-war, antiwar, PEACE DEMONSTRATION, PEACE PROTEST, ANTI-TERROR, ANTI TERROR, STOP THE WAR, WAR ON TERROR, Iraq, Bush",left
2002004001,2004-02-05,2004-02-05,"relatives were murdered, loyalist paramilitaries, M15",neither
2002004002,2004-02-17,2004-02-17,"Kensington, Chelsea, congestion charge, congestion fee, congestion fees, fees for congestion",neither
2002004003,2004-03-01,2004-03-01,"pensioners, pension bill, retired, pension reform",left
2002004004,2004-03-18,2004-03-18,"Kurdish, asylum seekers, asylum seeker, hunger strike, refugees, refugee",left
2002004005,2004-04-02,2004-04-02,"animal activists, hedgehogs, Duchess of Hamilton, ANIMAL welfare, Animal rights",left
2002004006,2004-04-09,2004-04-09,"National Front, Muslims, Finsbury Park mosque, imam, Abu Hamza",right
2002004008,2004-06-15,2004-06-15,"lorry drivers, fuel prices, environmentalists, climate change, truck drivers, environmental activists, fossil fuels, petrol prices",right
2002004009,2004-07-01,2004-07-01,"Eros, Piccadilly Circus, Mick Jagger, Keith Richards",left
2002004012,2004-08-23,2004-08-23,"Argyll and Bute, CND, Faslane, Trident, Bruce Kent, nuclear disarmament, nuclear deterrent, nuclear weapons, anti nuclear, anti-nuclear",left
